"","Country","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status"
"51","Dominican Republic","F","F","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","PF"
"52","East Timor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"53","Ecuador","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","PF","PF","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"54","Egypt","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","NF","NF","NF"
"55","El Salvador","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"56","Equatorial Guinea","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"57","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NF","NF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"58","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"59","Ethiopia","NF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF"
"60","Fiji","F","F","F","F","F","F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"61","Finland","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"62","France","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"63","Gabon","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF"
"64","Gambia, The","F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF"
