"","Country","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL"
"47","Czechoslovakia","7","7","7","6","6","6","6","6","6","6","6","6","6","6","6","6","6","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Denmark","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"49","Djibouti",NA,NA,NA,NA,NA,"4","4","4","4","6","6","6","6","6","6","6","5","5","5","6","6","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"50","Dominica",NA,NA,NA,NA,NA,NA,"3","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"51","Dominican Republic","2","2","2","2","3","2","2","3","3","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3"
"52","East Timor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","3","3","3","3","3","4","4","4","4","4","4","4","4","3","3"
"53","Ecuador","3","4","4","4","4","4","4","2","2","2","2","2","3","3","3","2","2","2","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"54","Egypt","6","6","4","4","4","4","5","5","5","5","5","4","4","4","4","4","4","4","5","6","6","6","6","6","6","6","5","5","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5"
"55","El Salvador","3","3","3","3","3","4","5","4","5","5","5","5","4","4","4","3","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"56","Equatorial Guinea","6","6","6","7","7","7","7","6","6","6","6","6","7","7","7","7","7","7","7","6","7","7","7","7","7","7","7","7","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7"
"57","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","4","4","4","4","5","5","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7"
"58","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1"
"59","Ethiopia","6","6","5","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","5","4","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6"
"60","Fiji","2","2","2","2","2","2","2","2","2","2","2","2","2","2","5","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","3"
"61","Finland","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"62","France","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"63","Gabon","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5"
"64","Gambia, The","2","2","2","2","2","2","2","2","3","4","4","4","4","4","3","3","2","2","2","2","2","6","6","6","6","5","5","5","5","4","4","4","4","4","4","4","5","5","5","6","6","6","6"
"65","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","5","5","4","4","4","4","4","4","4","4","4","3","3","4","4","4","3","3","3","3","3","3"
"66","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"67","Germany, E.","7","7","7","7","7","7","6","6","7","7","7","6","6","6","6","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Germany, W.","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Ghana","6","6","5","5","5","5","4","4","3","5","5","6","6","6","6","6","5","5","6","5","4","4","4","4","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2"
"70","Greece","6","5","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"71","Grenada",NA,NA,"4","4","4","3","3","5","5","5","6","3","3","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"72","Guatemala","3","2","3","3","3","4","4","5","6","6","6","6","4","3","3","3","3","4","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"73","Guinea","7","7","7","7","7","7","7","7","7","7","7","5","5","5","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","5","5","5","5","5","5"
"74","Guinea-Bissau",NA,NA,"6","6","6","6","6","6","6","6","6","6","6","7","7","7","6","5","5","5","5","4","4","4","4","5","5","5","5","5","4","4","4","4","4","4","4","4","4","5","5","5","5"
