"","Country","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR"
"52","East Timor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"53","Ecuador","7","7","7","7","6","6","5","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"54","Egypt","6","6","6","6","5","5","5","5","5","5","5","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6"
"55","El Salvador","2","2","2","2","3","4","5","5","5","4","4","3","2","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"56","Equatorial Guinea","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"57","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"58","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3","3","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"59","Ethiopia","5","5","6","7","7","7","7","7","7","7","7","7","7","7","6","6","7","7","6","6","6","6","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","7"
"60","Fiji","2","2","2","2","2","2","2","2","2","2","2","2","2","2","6","5","6","6","6","4","4","4","4","4","4","4","2","6","4","4","4","4","4","6","6","6","6","6","6","6","6","3","3"
"61","Finland","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"62","France","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"63","Gabon","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6"
"64","Gambia, The","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","2","2","2","1","2","7","7","7","7","7","7","7","5","4","4","4","5","5","5","5","5","5","6","6","6","6","7"
"65","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","4","5","5","4","4","3","3","3","4","4","4","4","3","3","3","4","4","4","4","4","3","3","3","3"
"66","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"67","Germany, E.","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Germany, W.","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Ghana","6","7","7","7","7","6","5","4","2","6","6","7","7","7","7","6","6","6","6","5","5","5","4","3","3","3","3","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1"
"70","Greece","6","7","2","2","2","2","2","2","1","1","1","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2"
"71","Grenada",NA,NA,"2","2","2","2","2","5","6","6","7","5","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"72","Guatemala","2","2","4","4","4","3","3","4","6","6","6","5","4","3","3","3","3","3","3","4","4","4","4","3","3","3","3","3","3","4","4","4","4","3","3","3","4","4","3","3","3","3","4"
"73","Guinea","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","7","7","5","5","5","5","5","5"
"74","Guinea-Bissau",NA,NA,"6","6","6","6","6","6","6","6","7","6","6","6","6","6","6","6","6","6","6","3","3","3","3","3","3","4","4","4","6","4","3","4","4","4","4","4","4","6","6","5","5"
"75","Guyana","2","4","7","4","3","3","4","4","5","5","5","5","5","5","5","5","5","5","5","3","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2"
"76","Haiti","7","6","6","6","6","7","7","7","7","7","7","7","7","5","6","7","7","4","7","7","7","5","5","4","4","5","5","6","6","6","6","7","7","4","4","4","4","4","4","4","4","5","5"
"77","Honduras","7","6","6","6","6","6","6","6","4","2","3","2","2","2","2","2","2","2","2","2","3","3","3","3","2","2","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4"
"78","Hungary","6","6","6","6","6","6","6","6","6","6","6","6","5","5","5","5","4","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2"
"79","Iceland","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"80","India","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","4","4","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"81","Indonesia","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","7","7","7","7","7","6","4","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2"
"82","Iran","5","5","5","6","6","6","5","5","5","6","6","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"83","Iraq","7","7","7","7","7","7","7","7","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6","5","5","5","6","5","6","5"
"84","Ireland","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"85","Israel","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"86","Italy","1","1","1","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1"
"87","Jamaica","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"88","Japan","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"89","Jordan","6","6","6","6","6","6","6","6","6","6","6","5","5","5","5","6","5","5","4","3","4","4","4","4","4","4","4","4","5","6","5","5","5","5","5","5","6","6","6","6","6","6","6"
